stop_id,stop_name,stop_lat,stop_lon,stop_url
1172,TARAJAL,28.4081,-16.33,http://www.titsa.com/correspondencias.php?idc=1172
1173,RADAZUL ALTO,28.4097,-16.3279,http://www.titsa.com/correspondencias.php?idc=1173
1174,CLUB BATISTANA,28.4086,-16.3257,http://www.titsa.com/correspondencias.php?idc=1174
1175,PARAISO,28.4066,-16.3248,http://www.titsa.com/correspondencias.php?idc=1175
1176,VIOLETA,28.4069,-16.3323,http://www.titsa.com/correspondencias.php?idc=1176
1177,VIOLETA,28.407,-16.3325,http://www.titsa.com/correspondencias.php?idc=1177
1178,ESPAÑA,28.4044,-16.333,http://www.titsa.com/correspondencias.php?idc=1178
1179,TABAIBA,28.4035,-16.3318,http://www.titsa.com/correspondencias.php?idc=1179
1180,ESPAÑA,28.4041,-16.3332,http://www.titsa.com/correspondencias.php?idc=1180
1183,CARRETERA SAN LÁZARO,28.4902,-16.3287,http://www.titsa.com/correspondencias.php?idc=1183
1184,EL GOFIO,28.4901,-16.3334,http://www.titsa.com/correspondencias.php?idc=1184
1185,ECLIPSE DE SOL,28.4897,-16.3403,http://www.titsa.com/correspondencias.php?idc=1185
1186,EL PÚLPITO (T),28.49,-16.3494,http://www.titsa.com/correspondencias.php?idc=1186
1187,EL PORTEZUELO (T),28.49,-16.3526,http://www.titsa.com/correspondencias.php?idc=1187
1188,MOLINO VIEJO,28.4908,-16.3554,http://www.titsa.com/correspondencias.php?idc=1188
1189,LA CRUZ CHICA (T),28.4914,-16.362,http://www.titsa.com/correspondencias.php?idc=1189
1190,GUAMASA,28.4923,-16.3669,http://www.titsa.com/correspondencias.php?idc=1190
1191,EL CANDIL,28.492,-16.3712,http://www.titsa.com/correspondencias.php?idc=1191
1192,EL BOQUERÓN (T),28.4912,-16.3755,http://www.titsa.com/correspondencias.php?idc=1192
1193,EL RODEO,28.4894,-16.3803,http://www.titsa.com/correspondencias.php?idc=1193
1194,EL TRAZO (T),28.4875,-16.3867,http://www.titsa.com/correspondencias.php?idc=1194
1195,LOS NARANJEROS (T),28.4866,-16.3899,http://www.titsa.com/correspondencias.php?idc=1195
1196,NUEVO LAUREL,28.486,-16.3929,http://www.titsa.com/correspondencias.php?idc=1196
1197,LOMO COLORADO,28.4864,-16.3957,http://www.titsa.com/correspondencias.php?idc=1197
1199,PEDRO FELIPE,28.4845,-16.404,http://www.titsa.com/correspondencias.php?idc=1199
1200,VALERIO PADRÓN,28.4834,-16.406,http://www.titsa.com/correspondencias.php?idc=1200
1201,CARRETERA TEJINA,28.4847,-16.4103,http://www.titsa.com/correspondencias.php?idc=1201
1202,EL POLE,28.4846,-16.4114,http://www.titsa.com/correspondencias.php?idc=1202
1203,EL CALVARIO,28.4843,-16.4134,http://www.titsa.com/correspondencias.php?idc=1203
1204,CEMENTERIO,28.483,-16.4159,http://www.titsa.com/correspondencias.php?idc=1204
1205,SANTA CATALINA (T),28.4831,-16.4181,http://www.titsa.com/correspondencias.php?idc=1205
1206,LAS TOSCAS,28.4836,-16.423,http://www.titsa.com/correspondencias.php?idc=1206
1207,LOS GUANCHES,28.4831,-16.4265,http://www.titsa.com/correspondencias.php?idc=1207
1208,LA PIEDAD,28.4815,-16.429,http://www.titsa.com/correspondencias.php?idc=1208
1209,OLIMPIA,28.4801,-16.4308,http://www.titsa.com/correspondencias.php?idc=1209
1211,EL SAUZAL (T),28.4794,-16.4368,http://www.titsa.com/correspondencias.php?idc=1211
1212,LOS ANGELES,28.4724,-16.4396,http://www.titsa.com/correspondencias.php?idc=1212
1213,PRIMAVERA,28.4716,-16.4408,http://www.titsa.com/correspondencias.php?idc=1213
1214,FRANCISCO CRUZ DÍAZ,28.4696,-16.4421,http://www.titsa.com/correspondencias.php?idc=1214
1215,LOS PERALES (T),28.468,-16.4434,http://www.titsa.com/correspondencias.php?idc=1215
1216,FRANCISCO CRUZ DÍAZ,28.4695,-16.4421,http://www.titsa.com/correspondencias.php?idc=1216
1217,LOS ANGELES,28.4724,-16.4395,http://www.titsa.com/correspondencias.php?idc=1217
1218,EL SAUZAL (T),28.4793,-16.4367,http://www.titsa.com/correspondencias.php?idc=1218
1219,CENTRO DE SALUD,28.4799,-16.4345,http://www.titsa.com/correspondencias.php?idc=1219
1220,OLIMPIA,28.48,-16.4313,http://www.titsa.com/correspondencias.php?idc=1220
1221,LA PIEDAD,28.482,-16.4287,http://www.titsa.com/correspondencias.php?idc=1221
1222,LOS GUANCHES,28.483,-16.4268,http://www.titsa.com/correspondencias.php?idc=1222
1223,LAS TOSCAS,28.4834,-16.4231,http://www.titsa.com/correspondencias.php?idc=1223
1224,SANTA CATALINA  (T),28.483,-16.418,http://www.titsa.com/correspondencias.php?idc=1224
1225,CEMENTERIO,28.483,-16.4158,http://www.titsa.com/correspondencias.php?idc=1225
1226,EL CALVARIO,28.4841,-16.4134,http://www.titsa.com/correspondencias.php?idc=1226
1227,EL POLE,28.4845,-16.4114,http://www.titsa.com/correspondencias.php?idc=1227
1228,CARRETERA TEJINA,28.4846,-16.4102,http://www.titsa.com/correspondencias.php?idc=1228
1229,VALERIO PADRÓN,28.4833,-16.406,http://www.titsa.com/correspondencias.php?idc=1229
1230,PEDRO FELIPE,28.4849,-16.4033,http://www.titsa.com/correspondencias.php?idc=1230
1231,EL TORREÓN,28.4859,-16.399,http://www.titsa.com/correspondencias.php?idc=1231
1232,LOMO COLORADO,28.4862,-16.3965,http://www.titsa.com/correspondencias.php?idc=1232
1233,NUEVO LAUREL,28.4854,-16.3921,http://www.titsa.com/correspondencias.php?idc=1233
1234,LOS NARANJEROS (T),28.4865,-16.3899,http://www.titsa.com/correspondencias.php?idc=1234
1235,EL TRAZO (T),28.4875,-16.3865,http://www.titsa.com/correspondencias.php?idc=1235
1236,EL RODEO,28.4893,-16.3803,http://www.titsa.com/correspondencias.php?idc=1236
1237,EL BOQUERÓN (T),28.491,-16.3757,http://www.titsa.com/correspondencias.php?idc=1237
1238,EL CANDIL,28.4917,-16.3715,http://www.titsa.com/correspondencias.php?idc=1238
1239,GUAMASA,28.4922,-16.3669,http://www.titsa.com/correspondencias.php?idc=1239
1240,LA CRUZ CHICA (T),28.4913,-16.3622,http://www.titsa.com/correspondencias.php?idc=1240
1241,MOLINO VIEJO,28.4906,-16.3554,http://www.titsa.com/correspondencias.php?idc=1241
1242,EL PORTEZUELO (T),28.4899,-16.3526,http://www.titsa.com/correspondencias.php?idc=1242
1243,NUEVO LAUREL,28.4853,-16.3917,http://www.titsa.com/correspondencias.php?idc=1243
1244,EL LLANO,28.4828,-16.3957,http://www.titsa.com/correspondencias.php?idc=1244
1245,EL TORREÓN,28.4811,-16.4,http://www.titsa.com/correspondencias.php?idc=1245
1246,EL CANTILLO (T),28.4795,-16.4031,http://www.titsa.com/correspondencias.php?idc=1246
1247,CORREOS,28.4783,-16.4073,http://www.titsa.com/correspondencias.php?idc=1247
1248,SEBASTIÁN MACHADO,28.4779,-16.4108,http://www.titsa.com/correspondencias.php?idc=1248
1249,PLAZA DE LA ESTACIÓN (T),28.4767,-16.4154,http://www.titsa.com/correspondencias.php?idc=1249
1250,LA FRONTERA,28.4748,-16.4194,http://www.titsa.com/correspondencias.php?idc=1250
1251,EL MONTILLO,28.4731,-16.4239,http://www.titsa.com/correspondencias.php?idc=1251
1252,LUIS DIEGO CUSCOY,28.4739,-16.4274,http://www.titsa.com/correspondencias.php?idc=1252
1253,EL LAGAR (T),28.4721,-16.4323,http://www.titsa.com/correspondencias.php?idc=1253
1254,LAS MEJÍAS,28.4712,-16.4332,http://www.titsa.com/correspondencias.php?idc=1254
1255,HERRERA,28.4752,-16.4335,http://www.titsa.com/correspondencias.php?idc=1255
1256,LAS MACETAS,28.4751,-16.4346,http://www.titsa.com/correspondencias.php?idc=1256
1257,SAN NICOLÁS,28.4772,-16.4333,http://www.titsa.com/correspondencias.php?idc=1257
1258,EL CALVARIO,28.4799,-16.4316,http://www.titsa.com/correspondencias.php?idc=1258
1259,EL CALVARIO,28.4799,-16.4317,http://www.titsa.com/correspondencias.php?idc=1259
1260,SAN NICOLÁS,28.4772,-16.4335,http://www.titsa.com/correspondencias.php?idc=1260
1261,LAS MACETAS,28.475,-16.4345,http://www.titsa.com/correspondencias.php?idc=1261
1262,HERRERA,28.4752,-16.4337,http://www.titsa.com/correspondencias.php?idc=1262
1263,LAS MEJÍAS,28.4708,-16.4335,http://www.titsa.com/correspondencias.php?idc=1263
1264,EL LAGAR (T),28.4719,-16.4323,http://www.titsa.com/correspondencias.php?idc=1264
1265,LUIS DIEGO CUSCOY,28.4738,-16.4273,http://www.titsa.com/correspondencias.php?idc=1265
1266,EL MONTILLO,28.473,-16.4239,http://www.titsa.com/correspondencias.php?idc=1266
1267,LA FRONTERA,28.4747,-16.4194,http://www.titsa.com/correspondencias.php?idc=1267
1268,PLAZA DE LA ESTACIÓN (T),28.477,-16.4149,http://www.titsa.com/correspondencias.php?idc=1268
1269,SEBASTIÁN MACHADO,28.4779,-16.4107,http://www.titsa.com/correspondencias.php?idc=1269
1270,CORREOS,28.4783,-16.4075,http://www.titsa.com/correspondencias.php?idc=1270
1271,EL CANTILLO (T),28.4787,-16.4037,http://www.titsa.com/correspondencias.php?idc=1271
1272,EL TORREÓN,28.4813,-16.3992,http://www.titsa.com/correspondencias.php?idc=1272
1273,EL LLANO,28.4832,-16.395,http://www.titsa.com/correspondencias.php?idc=1273
1274,NUEVO LAUREL,28.4851,-16.3918,http://www.titsa.com/correspondencias.php?idc=1274
1275,EL PÚLPITO,28.49,-16.3487,http://www.titsa.com/correspondencias.php?idc=1275
1279,CHAMBERÍ,28.4524,-16.2748,http://www.titsa.com/correspondencias.php?idc=1279
1280,HOSPITAL LA CANDELARIA,28.4479,-16.2839,http://www.titsa.com/correspondencias.php?idc=1280
1281,NUEVO OBRERO,28.4479,-16.2908,http://www.titsa.com/correspondencias.php?idc=1281
1282,HOSPITAL UNIVERSITARIO,28.4569,-16.2938,http://www.titsa.com/correspondencias.php?idc=1282
1283,ANDRÓMEDA,28.4701,-16.3071,http://www.titsa.com/correspondencias.php?idc=1283
1288,SAN ANTONIO,28.4874,-16.3241,http://www.titsa.com/correspondencias.php?idc=1288
1290,SAN BENITO,28.4899,-16.3266,http://www.titsa.com/correspondencias.php?idc=1290
1291,MARCOS REDONDO,28.4926,-16.322,http://www.titsa.com/correspondencias.php?idc=1291
1292,PASEO DE LOS ORAMAS,28.4955,-16.3194,http://www.titsa.com/correspondencias.php?idc=1292
1293,POZO CABILDO,28.499,-16.3151,http://www.titsa.com/correspondencias.php?idc=1293
1294,REPÚBLICA ARGENTINA,28.5027,-16.3125,http://www.titsa.com/correspondencias.php?idc=1294
1298,LA GORGOLANA,28.514,-16.3083,http://www.titsa.com/correspondencias.php?idc=1298
1299,EL PALOMAR,28.5147,-16.3152,http://www.titsa.com/correspondencias.php?idc=1299
1300,PEDRO ÁLVAREZ,28.5178,-16.3226,http://www.titsa.com/correspondencias.php?idc=1300
1301,I. NUEVAS TECNOLOGÍAS,28.5193,-16.3281,http://www.titsa.com/correspondencias.php?idc=1301
1302,LOS LAURELES,28.5192,-16.3317,http://www.titsa.com/correspondencias.php?idc=1302
1303,TEGUESTE,28.5212,-16.3367,http://www.titsa.com/correspondencias.php?idc=1303
1304,CAMINO VIEJO,28.5225,-16.3424,http://www.titsa.com/correspondencias.php?idc=1304
1305,LAS TOSCAS,28.5232,-16.346,http://www.titsa.com/correspondencias.php?idc=1305
1306,EL SOCORRO,28.5239,-16.349,http://www.titsa.com/correspondencias.php?idc=1306
1307,TAMARCO (T),28.5242,-16.3507,http://www.titsa.com/correspondencias.php?idc=1307
1308,CUEVA JURADA,28.5279,-16.3533,http://www.titsa.com/correspondencias.php?idc=1308
1309,LA ASOMADA,28.5294,-16.3567,http://www.titsa.com/correspondencias.php?idc=1309
1310,PATA RAJADA,28.53,-16.3595,http://www.titsa.com/correspondencias.php?idc=1310
1311,EL CEMENTERIO,28.5319,-16.3595,http://www.titsa.com/correspondencias.php?idc=1311
1312,TOMÁS GONZÁLEZ RIVERO,28.5342,-16.3606,http://www.titsa.com/correspondencias.php?idc=1312
1313,EL PUENTE,28.536,-16.3587,http://www.titsa.com/correspondencias.php?idc=1313
1314,FINCA JOVER,28.5429,-16.3559,http://www.titsa.com/correspondencias.php?idc=1314
1315,CLUB NAUTICO,28.5446,-16.3528,http://www.titsa.com/correspondencias.php?idc=1315
1316,PORLIER,28.5453,-16.3505,http://www.titsa.com/correspondencias.php?idc=1316
1317,EL RIEGO,28.5508,-16.3488,http://www.titsa.com/correspondencias.php?idc=1317
1318,BAJAMAR,28.5538,-16.3448,http://www.titsa.com/correspondencias.php?idc=1318
1319,EL SOL,28.5556,-16.3413,http://www.titsa.com/correspondencias.php?idc=1319
1320,NEPTUNO,28.5554,-16.3382,http://www.titsa.com/correspondencias.php?idc=1320
